"""","運転免許人口_男_総 数(人)","運転免許人口_男_二 種大 型(人)","運転免許人口_男_二 種中型(人)","運転免許人口_男_二 種普通(人)","運転免許人口_男_二 種その他(人)","運転免許人口_男_一 種大 型(人)","運転免許人口_男_一 種中型(人)","運転免許人口_男_一 種普 通(人)","運転免許人口_男_一 種二 輪(人)","運転免許人口_男_一 種原 付(人)","運転免許人口_男_一 種その他(人)","運転免許人口_女_総 数(人)","運転免許人口_女_二 種大 型(人)","運転免許人口_女_二 種中型(人)","運転免許人口_女_二 種普通(人)","運転免許人口_女_二 種その他(人)","運転免許人口_女_一 種大 型(人)","運転免許人口_女_一 種中型(人)","運転免許人口_女_一 種普 通(人)","運転免許人口_女_一 種二 輪(人)","運転免許人口_女_一 種原 付(人)","運転免許人口_女_一 種その他(人)"
"平成25年末(2013年末)","359741.0","7065.0","5631.0","2328.0","17.0","37933.0","265552.0","31904.0","2555.0","6705.0","51.0","324911.0","48.0","327.0","185.0","0.0","895.0","262257.0","30861.0","4122.0","26142.0","74.0"
"平成26年末(2014年末)","357260.0","6729.0","5328.0","2297.0","18.0","37535.0","260893.0","35713.0","2282.0","6426.0","39.0","324953.0","48.0","313.0","211.0","0.0","908.0","259852.0","34764.0","3840.0","24950.0","67.0"
"","","","","","","","","","","","","","","","","","","","","","",""
"16～19歳","6206.0","0.0","0.0","0.0","0.0","0.0","0.0","4176.0","342.0","1686.0","2.0","5326.0","0.0","0.0","0.0","0.0","0.0","0.0","3795.0","32.0","1499.0","0.0"
"20～24歳","21288.0","7.0","0.0","6.0","0.0","214.0","384.0","19731.0","132.0","813.0","1.0","19778.0","1.0","0.0","1.0","0.0","3.0","7.0","18885.0","22.0","858.0","1.0"
"25～29歳","22885.0","50.0","4.0","49.0","0.0","822.0","13815.0","7742.0","43.0","360.0","0.0","22393.0","0.0","2.0","6.0","0.0","25.0","13582.0","8324.0","7.0","447.0","0.0"
"30～34歳","24175.0","119.0","38.0","91.0","2.0","1784.0","20727.0","1114.0","16.0","284.0","0.0","24638.0","8.0","6.0","16.0","0.0","70.0","22837.0","1324.0","6.0","371.0","0.0"
"","","","","","","","","","","","","","","","","","","","","","",""
"35～39歳","28312.0","222.0","87.0","119.0","3.0","3115.0","23847.0","618.0","32.0","269.0","0.0","28263.0","7.0","18.0","28.0","0.0","122.0","27008.0","719.0","9.0","352.0","0.0"
"40～44歳","33899.0","332.0","167.0","128.0","2.0","4475.0","28009.0","500.0","33.0","253.0","0.0","34310.0","10.0","45.0","45.0","0.0","230.0","33112.0","444.0","16.0","408.0","0.0"
"45～49歳","29295.0","484.0","210.0","172.0","4.0","4423.0","23442.0","351.0","21.0","188.0","0.0","31529.0","10.0","46.0","42.0","0.0","162.0","30503.0","256.0","13.0","497.0","0.0"
"50～54歳","28671.0","541.0","260.0","182.0","1.0","4107.0","23157.0","219.0","34.0","170.0","0.0","30845.0","4.0","64.0","31.0","0.0","98.0","29602.0","209.0","71.0","766.0","0.0"
"","","","","","","","","","","","","","","","","","","","","","",""
"55～59歳","29663.0","567.0","383.0","219.0","3.0","3771.0","24313.0","189.0","37.0","179.0","2.0","29181.0","2.0","38.0","19.0","0.0","65.0","27414.0","153.0","130.0","1360.0","0.0"
"60～64歳","33337.0","701.0","802.0","196.0","1.0","4140.0","26983.0","168.0","65.0","280.0","1.0","31861.0","4.0","42.0","19.0","0.0","53.0","28098.0","147.0","347.0","3149.0","2.0"
"65～69歳","35077.0","869.0","1395.0","96.0","1.0","4797.0","27216.0","178.0","125.0","398.0","2.0","31426.0","1.0","33.0","2.0","0.0","45.0","25253.0","203.0","695.0","5191.0","3.0"
"70～74歳","28162.0","952.0","1068.0","26.0","0.0","3695.0","21463.0","122.0","324.0","509.0","3.0","21307.0","0.0","13.0","0.0","0.0","20.0","14449.0","137.0","1060.0","5619.0","9.0"
"","","","","","","","","","","","","","","","","","","","","","",""
"75～79歳","18987.0","927.0","643.0","492.0","1.0","1653.0","14140.0","210.0","462.0","451.0","8.0","9626.0","0.0","5.0","1.0","0.0","11.0","5506.0","91.0","872.0","3118.0","22.0"
"80歳以上","17303.0","958.0","271.0","521.0","0.0","539.0","13397.0","395.0","616.0","586.0","20.0","4470.0","1.0","1.0","1.0","0.0","4.0","2481.0","77.0","560.0","1315.0","30.0"
